,linhas,date,mean_geral,median_geral,std_geral,perc95_geral,cv_geral,trips_geral,ltt_mean,rbt_mean,ltt_median,rbt_median,ltt_cv,ltt_std,route_category,origin_sector,destination_sector,direction,planned_headway,passenger_two_dir,passenger_one_way,bus_stops_one_dir,planned_tt,length_round_trip,bus_lane,demand,frequency,capacity_per_trip,conforto_pass_m2,temp_max,temp_med,temp_min,umid_med,umid_min,chuva_mm,stops_km,dist_stops_to_stops,confort_index_geral,ipk,ewt_mean,ewt_median,customer_w_appointment,customer_appointment
541,978T_10_0,2017-04-11,329.765811827957,280.49850000000004,232.29907143001134,715.5862500000002,0.704436491285533,186,3847.198810172497,1281.2670999294883,4018.5330574351233,1239.79062948634,0.270374110633035,1043.0683518881622,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,29.9,24.7,21.1,69.0,38,5.0,3.1515151515151514,0.3173076923076923,2.0993855606758833,4.453242098403389,246.7028773175008,209.84524335514018,5505.026564238964,5973.909936921464
542,978T_10_0,2017-04-12,383.5668113207546,357.223,182.32222902854951,703.3140999999999,0.47533369323782304,159,4274.998321028728,1654.0758141545218,4260.659599033809,1477.718137524368,0.22788539693200358,977.2877686292109,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,25.2,20.7,19.4,79.7,65,0.0,3.1515151515151514,0.3173076923076923,2.455884995507637,5.2094530207737755,235.1153549021236,218.9673609533608,5973.493091460301,6441.691836558177
543,978T_10_0,2017-04-13,958.1402835820901,544.706,1107.790342041498,3500.5157999999983,1.1561880457629108,67,4193.051937779057,1264.0481586122305,4130.994084326971,1304.0773886661436,0.2223614885934953,940.9667543290836,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,20.3,18.2,17.2,82.1,70,1.2,3.1515151515151514,0.3173076923076923,5.82814498933902,12.362731795567617,1119.477117131038,636.4265369202953,6554.548590124152,8935.587272993112
544,978T_10_0,2017-04-17,328.1058877005349,311.843,133.7251362659926,571.9388000000001,0.40756701198865625,187,3636.762165201077,1328.7759058447039,3669.315682066302,1329.2353551728243,0.2695138716806572,982.8767412183215,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,24.3,19.8,18.7,78.5,52,0.2,3.1515151515151514,0.3173076923076923,2.088158899923606,4.429427969534921,191.3039209581207,181.8217559015354,5189.8549581972475,5570.489837239126
545,978T_10_0,2017-04-18,325.9674042553193,296.6675,171.29365604611039,638.8942000000002,0.5254932051793185,188,3690.2184176088713,1358.9442520737414,3734.0529637871336,1365.1925902261005,0.20939571958084435,774.7903499088426,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,22.7,18.6,16.3,69.0,46,0.4,3.1515151515151514,0.3173076923076923,2.077051671732523,4.405867182462927,207.9905282989368,189.2950928485909,5307.236082312171,5738.139754013235
546,978T_10_0,2017-04-19,394.79529032258085,322.5390000000001,383.5902281775922,823.4624999999995,0.9716180450485284,155,3622.5216147073947,1119.8386953784993,3795.138414384599,861.9043678006783,0.2450001159460346,890.4328974091959,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,23.2,17.9,14.8,66.8,39,0.0,3.1515151515151514,0.3173076923076923,2.51926267281106,5.343890518084066,383.74923896210595,313.5146209177544,5040.792021147383,5480.505282185277
547,978T_10_0,2017-04-20,866.437323943662,348.115,1235.6051126507991,3186.537500000001,1.4260755838943306,71,3705.6738875179262,810.4570521381481,3919.9595576579213,407.53914403244653,0.18571704641374218,693.9181671207806,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,27.9,20.5,16.1,69.0,42,0.0,3.1515151515151514,0.3173076923076923,5.499798792756539,11.666239863422962,1314.2518032149853,528.0367706157741,5641.750504905353,7514.036201690369
548,978T_10_0,2017-04-24,343.9194576271186,313.11,170.08800843844475,642.4186,0.49455767816096086,177,3641.222996177388,1116.0812341000674,3774.6777754642026,917.2268982329542,0.220140884611462,803.895424370027,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,27.2,19.5,15.0,66.5,45,0.0,3.1515151515151514,0.3173076923076923,2.206133979015335,4.679678137305256,214.0188940817289,194.84636428621238,4905.923567778886,5334.323273697157
549,978T_10_0,2017-04-25,298.7223970588236,266.71450000000004,132.49584326266958,517.4182000000002,0.44354171152616606,204,3570.6034773077386,1165.0991840753613,3650.140913355445,1009.7710655897222,0.22581426071468283,808.3685886991419,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,28.7,22.2,17.9,67.6,41,0.0,3.1515151515151514,0.3173076923076923,1.9141456582633054,4.060308972073678,178.74491507482534,159.59252175636735,4838.656894019992,5177.330178945167
550,978T_10_0,2017-04-26,390.28485350318476,304.487,706.7567442605365,591.6629999999998,1.810874129284572,157,3717.012780764533,1305.7114083660058,3867.493100249512,1177.3167003755457,0.26122470029662626,974.1435043992252,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,24.1,20.9,20.8,72.6,60,0.0,3.1515151515151514,0.3173076923076923,2.487170154686078,5.275815479637136,835.0661786909913,651.4902980958472,5879.875979316049,5636.472800625057
