,route,ewt_mean,ewt_perc_25,ewt_perc_50,ewt_perc_75,rbt_geral,rbt_perc_25,rbt_perc_50,rbt_perc_75
111,4018-10-0,0.7841419762342987,0.8316693002247574,0.8877470121903267,0.9247853917398567,0.2228409212022296,0.2768060027681304,0.3226782475930639,0.36191863671746294
112,4024-10-0,0.6502432055950986,0.670604707928018,0.6896774472728534,0.703779704692683,0.20604816357430827,0.23119858181965136,0.2692143378472362,0.3622347602916111
113,407G-10-0,0.7565316883225716,0.850898889616223,0.925199523367475,0.9770664886705015,0.16634698161995226,0.19304358363956672,0.2557972831296257,0.43825505441220447
114,407J-10-0,0.8271234213391777,0.9062547327693394,0.961934812734682,0.9987034320121083,0.18000698591674122,0.22323515298868482,0.256075746235447,0.2870548884113287
115,407L-10-0,1.2026183554186314,1.2142793848091604,1.2278302246480277,1.2337879761791941,0.14432704228541185,0.16163148095981794,0.1624293467110508,0.19567809139785491
116,407W-10-0,0.6603421093557509,0.6758378952669455,0.6948716967809283,0.7022870658095058,0.22409036721047584,0.2542133089422215,0.29162275236405427,0.4184979211387246
117,408A-10-0,1.062858770457672,1.079132534733692,1.0761655985427911,1.070606689579861,0.08517766460406147,0.09286140173587794,0.11748185386408135,0.10298387245257648
118,4210-10-0,0.857308866491274,0.8938224772946718,0.9165799269571477,0.9437183018019855,0.2066372637975272,0.22211129687104098,0.26439415619490003,0.34226542700914037
119,4221-10-0,0.9426971540416691,0.9165808638371027,0.9036778308751672,0.8946228798783263,0.220072230042781,0.2602013283372614,0.3475566114513694,0.5684960285672833
120,4310-10-0,1.4176280969935586,1.439946034391919,1.4660168389688466,1.5910660143796882,0.3933484747143906,0.46002239494820457,0.4144473050811525,0.4338025415166521
121,4311-10-0,1.033515805002082,1.0367468594414289,1.0419891604112963,1.0397109863746294,0.27158789469145667,0.32681666712297075,0.42533548472748767,0.403624702273481
122,4314-10-0,1.073063811181868,1.0856317153434178,1.110527220881723,1.0981519165086207,0.22926765565227739,0.2766805497894737,0.3452491360797566,0.42617745900063186
123,4708-10-0,0.7611395915358881,0.7618083221709332,0.7750566294753682,0.7806244798042292,0.39234554697021046,0.3981116175899,0.5198359884873873,0.6510565544882063
124,4734-10-0,1.1885570393007394,1.1992275367809615,1.2177463043995347,1.1944106469280973,0.37262767093290355,0.40121727846473765,0.41680181296613783,0.5577364772008773
125,475R-10-0,0.8943963637664589,0.9215839111547691,0.9692350469344124,1.024818492358286,0.26340530110489163,0.24573682872491917,0.36074031641139637,0.5171517974378537
126,476A-10-0,0.8842297538665495,0.8880377960454988,0.895257683403208,0.8998049053685871,0.22570944617675762,0.2759158640926995,0.342065181408392,0.4234060547458095
127,478P-10-0,0.9247255125452725,0.9439250017305344,1.0759094810124143,1.474390227939653,0.19445358053368436,0.2207643396828915,0.2764572885060349,0.43618411927532535
128,5012-10-0,1.1446561171252956,1.1699120058554409,1.1868903577631595,1.1961291050255907,0.3747502664619949,0.48230126821862845,0.6851939327516591,1.744597472299023
129,5013-10-0,1.2162335885328537,1.2056597419641624,1.2560467578009036,1.2545335282812151,0.35925274435563354,0.3074421699696999,0.3433414761596029,0.5258931208238237
130,5015-10-0,0.8431621392404486,0.8590820597287011,0.8823062134066681,0.9023723644924398,0.22683702984075085,0.27442354093105986,0.31336266318544687,0.3908258244369544
131,5018-10-0,0.9162376033724238,0.9330598336673568,0.9668195991517993,0.9745975675898328,0.2260434146038382,0.2550440427989771,0.32761620439099337,0.49515924001720846
132,5021-10-0,0.9512469648740938,0.9524687892604433,0.9423791247424841,0.9371479751324016,0.21542688083871364,0.22861581734950814,0.26185240904097923,0.3819214098272566
133,5022-10-0,0.6819390195909881,0.7086976305453412,0.7372393666833787,0.755459345095595,0.2943420433235435,0.3201969179342822,0.4553804696258975,0.6228213337371744
