trip,headway
273D10,1326.315789
273F10,1800.000000
273G10,423.157895
273G10,634.736842
273G21,1950.000000
273J10,723.157895
273J10,855.789474
273L10,798.947368
273L10,756.666667
273N10,906.315789
273N10,856.666667
273N41,2700.000000
273R10,416.842105
273R10,495.789474
273R42,1320.000000
273V10,1831.578947
273V10,1900.000000
273X10,426.315789
273X10,495.789474
274010,852.631579
274010,906.315789
274P10,1468.421053
274P10,1450.000000
275510,1092.631579
275510,1046.666667
275610,1357.894737
275610,1350.000000
276210,862.105263
276210,806.666667
276510,337.894737
276510,438.947368
276610,521.052632
276610,644.210526
276641,3000.000000
276710,1373.684211
276710,1350.000000
276810,1736.842105
276810,1863.157895
276910,1357.894737
276910,1350.000000
277010,1095.789474
277010,1036.666667
277210,1705.263158
277210,1700.000000
278010,1102.105263
278010,1056.666667
278A10,990.000000
278A10,1080.000000
297A10,466.666667
297A10,490.000000
300110,814.736842
300110,814.736842
300210,533.684211
300210,571.578947
300310,745.263158
300410,710.526316
300610,600.000000
301310,1152.631579
301910,1152.631579
302010,912.631579
302010,980.000000
302031,1116.666667
302031,1058.823529
302110,1389.473684
302110,1283.333333
302310,590.526316
302310,600.000000
302410,1231.578947
302410,1357.894737
302510,1048.421053
302510,1006.666667
302610,252.631579
302610,262.105263
302710,858.947368
302710,723.333333
302910,454.736842
302910,436.666667
303110,663.157895
303110,710.526316
303210,1389.473684
303310,470.526316
303310,514.736842
304610,369.473684
304610,350.000000
305310,350.526316
305310,397.894737
305410,840.000000
305410,920.000000
306310,824.210526
306310,918.947368
306341,1350.000000
306341,1500.000000
306410,274.736842
306410,274.736842
306441,1912.500000
306910,732.631579
306910,748.421053
307C10,852.631579
307C10,972.631579
309810,495.789474
309810,486.666667
309910,453.333333
309910,483.157895
311210,694.736842
311210,633.333333
311C10,881.052632
311C10,1086.315789
312N10,855.789474
312N10,680.000000
313410,710.526316
313410,690.000000
313910,1700.000000
313910,1833.333333
313931,2400.000000
314110,764.210526
314110,881.052632
314J10,896.842105
314J10,890.000000
314V10,1054.736842
314V10,1209.473684
316010,511.578947
316010,416.666667
316110,978.947368
316110,893.333333
320610,1020.000000
330110,947.368421
330110,903.333333
331010,3600.000000
339010,663.157895
339010,707.368421
341410,783.157895
341410,670.000000
342C10,950.526316
342C10,846.666667
342M10,385.263158
342M10,369.473684
342N10,896.842105
342N10,1023.157895
345910,451.578947
345910,631.578947
345921,1425.000000
345923,1100.000000
345924,1725.000000
346210,1057.894737
346210,1136.842105
346241,2160.000000
351F10,1200.000000
351F10,1102.105263
352A10,817.894737
352A10,846.315789
353910,906.315789
353910,896.666667
354M10,802.105263
354M10,760.000000
357410,612.631579
357410,618.947368
357431,1600.000000
357431,1200.000000
357441,2700.000000
364A10,748.421053
364A10,615.789474
364A21,1640.000000
368610,783.157895
368610,793.333333
371210,549.473684
371210,590.526316
371241,967.058824
371241,1126.666667
371810,369.473684
372110,360.000000
372110,423.157895
372141,331.578947
372210,1020.000000
372210,1010.000000
372510,309.473684
372541,426.315789
372810,344.210526
372841,833.684211
372910,388.421053
372910,429.473684
372F10,607.058824
372F10,472.941176
372U10,334.736842
372U10,286.666667
373110,388.421053
373110,346.666667
373210,363.157895
373210,333.333333
373410,290.526316
373410,325.263158
373510,606.315789
373521,720.000000
373541,1247.368421
373610,413.684211
373610,540.000000
373710,435.789474
373710,493.333333
373721,750.000000
373731,846.315789
373741,600.000000
373810,382.105263
373810,454.736842
373821,1176.000000
373910,622.105263
373910,742.105263
373931,765.000000
373L10,922.105263
373L10,850.000000
373M10,1657.894737
373M10,1831.578947
373T10,637.894737
373T10,647.368421
374110,571.578947
374110,533.333333
374210,672.631579
374210,633.333333
374310,570.000000
374310,583.333333
374510,546.315789
374510,523.333333
374610,625.263158
374610,764.210526
374631,900.000000
374631,940.000000
374910,1468.421053
374910,1433.333333
374M10,767.368421
374V10,457.894737
374V10,603.157895
375110,533.684211
375110,615.789474
375121,765.000000
375410,467.368421
375410,530.526316
375610,480.000000
375610,644.210526
375V10,1056.666667
376110,457.894737
376110,446.666667
376210,416.842105
376210,396.666667
376310,255.789474
376310,309.473684
376610,647.368421
376610,745.263158
376810,805.263158
376810,795.789474
377310,549.473684
377310,603.157895
