,Unnamed: 0,linhas,date,mean_geral,median_geral,std_geral,perc95_geral,cv_geral,trips_geral,ltt_mean,rbt_mean,ltt_median,rbt_median,ltt_cv,ltt_std,route_category,origin_sector,destination_sector,direction,planned_headway,passenger_two_dir,passenger_one_way,bus_stops_one_dir,planned_tt,length_round_trip,bus_lane,demand,frequency,capacity_per_trip,conforto_pass_m2,temp_max,temp_med,temp_min,umid_med,umid_min,chuva_mm,stops_km,dist_stops_to_stops,confort_index_geral,ipk,ewt_mean,ewt_median,customer_w_appointment,customer_appointment,slowness
716,716,351F_10_0,2017-03-10,2381.88,1840.0,1881.725977185507,5179.4,0.7900171197480591,25,7016.102451339511,1030.9297430691024,6858.486292531986,1846.6911433066518,0.1419578037654198,1019.4287722198926,0,2,4,1,1151,8814,4407,94,117,56,0,0,1,86,6,31.1,25.3,21.6,67.9,43,0.0,3.3571428571428568,0.2978723404255319,2.049767441860465,6.295714285714285,1934.2378683255981,1494.196885535417,10639.415304164237,13884.577435838635,75.77407407407408
717,717,351F_10_0,2017-03-13,1618.5297894736843,1240.0,972.2670904707137,3519.6389,0.6007100374636151,38,6005.619407872923,1034.2218193292917,6387.791086817501,1320.7387391362727,0.26021032504129765,1583.7012802771878,0,2,4,1,1151,8814,4407,94,117,56,0,0,1,86,6,27.5,23.1,21.3,72.7,50,0.0,3.3571428571428568,0.2978723404255319,1.3485312117503059,4.1419172932330826,1101.2901949074935,843.7285804479134,8809.820020861267,11228.168725953774,44.41481481481481
718,718,351F_10_0,2017-03-14,1926.4279999999999,1361.326,1237.1151948941267,4595.069,0.6421808626609075,31,6128.409227157639,1236.4162763381535,6496.384480448435,1835.7318682269586,0.2742803205649482,1708.6874346435673,0,2,4,1,1151,8814,4407,94,117,56,0,0,1,86,6,25.9,21.6,19.5,76.7,62,1.2,3.3571428571428568,0.2978723404255319,1.6530382595648911,5.0771889400921655,1360.4398515340135,961.3658757708008,9692.556200209408,12927.185348675393,58.61111111111112
719,719,351F_10_0,2017-03-15,2366.266666666667,1482.0,2009.0020564055344,6725.5963999999985,0.8490176042734833,15,6652.4449371972805,1157.6015179833944,7055.115543452204,1373.320032510279,0.3138638087722013,2173.2194454049773,0,2,4,1,1151,8814,4407,94,117,56,0,0,1,86,6,28.3,23.0,19.9,73.4,48,2.4,3.3571428571428568,0.2978723404255319,3.416279069767442,10.492857142857142,2035.9723897882975,1275.135691243417,10464.407965750781,15154.031975962484,106.48148148148147
720,720,351F_10_0,2017-03-16,2679.582782608696,1673.0,2370.246802580961,6913.395799999998,0.8845581550846575,23,6698.717056249207,1297.2395903834235,6680.349731684524,2392.74944977057,0.1724808128325306,1183.9328583162567,0,2,4,1,1151,8814,4407,94,117,56,0,0,1,86,6,30.2,24.6,19.6,63.8,36,0.0,3.3571428571428568,0.2978723404255319,2.2280080889787666,6.843167701863353,2388.1019606975096,1491.0136780164455,11461.201142152606,15986.494981455093,74.05185185185186
721,721,351F_10_0,2017-03-17,2749.3325714285716,2108.0,2370.726757356709,7589.000000000001,0.8622917365449403,21,6924.4326970187085,819.2136626834689,6860.38049742678,1290.6884810960264,0.07967076123736493,566.7920018031912,0,2,4,1,1151,8814,4407,94,117,56,0,0,1,86,6,29.6,23.4,21.7,71.8,42,0.0,3.3571428571428568,0.2978723404255319,2.4401993355481726,7.494897959183674,2396.795331951622,1837.6985790150281,10547.864310474428,15740.068978522806,82.06296296296296
722,722,351F_10_0,2017-03-20,2325.37037037037,1975.0,1525.286244026073,4120.8604,0.6559326047416418,27,5940.924211154045,1128.5205511033673,6222.735177025061,1752.5149127618524,0.25701494784249945,1561.2231127518985,0,2,4,1,1151,8814,4407,94,117,56,0,0,1,86,6,24.9,19.5,17.6,70.6,45,0.2,3.3571428571428568,0.2978723404255319,1.897932816537468,5.829365079365079,1662.927674695494,1412.3694871886155,9638.177764482409,12096.110489786912,44.685185185185176
723,723,351F_10_0,2017-03-21,1934.0490322580645,1541.0,1020.6857879743559,3588.780000000001,0.5277455591612755,31,6127.09814537712,1047.9138383340642,6364.892298621004,1528.5626556982752,0.2486954456432207,1550.7530800420845,0,2,4,1,1151,8814,4407,94,117,56,0,0,1,86,6,25.5,19.3,15.5,70.5,46,0.0,3.3571428571428568,0.2978723404255319,1.6530382595648911,5.0771889400921655,1236.3557120802789,985.0960966027317,9129.81066639956,11482.23495431928,48.16296296296296
724,724,351F_10_0,2017-03-22,1979.9549333333334,1352.4385000000002,1418.0223067733054,4522.299999999998,0.7161891833497481,30,6271.460302061482,886.8689521155544,6590.8323354992635,1230.381477242172,0.2501346329954142,1597.4954811398957,0,2,4,1,1151,8814,4407,94,117,56,0,0,1,86,6,27.1,20.7,16.5,67.1,37,0.0,3.3571428571428568,0.2978723404255319,1.708139534883721,5.246428571428571,1497.7635855965164,1023.0703249636798,9318.977398337951,12343.513812741436,54.918518518518525
725,725,351F_10_0,2017-03-23,1981.3548387096773,1988.0,964.6845178631579,3809.255500000001,0.4868812486366106,31,6507.016264876931,775.8717941186162,6494.162867843656,1216.8871405104885,0.11689998181735692,774.6284965471184,0,2,4,1,1151,8814,4407,94,117,56,0,0,1,86,6,27.4,20.7,16.6,67.8,40,0.0,3.3571428571428568,0.2978723404255319,1.6530382595648911,5.0771889400921655,1225.5208206536493,1229.6310301723013,8936.570829007795,11520.305508354146,68.64814814814815
