linhas,headway,cross
748A-10-0,1531.578947,True
748R-10-0,840.0,True
7545-10-0,678.947368,True
756A-10-0,1212.6315789999999,True
7600-10-0,1433.684211,True
7725-10-0,1700.0,True
775P-10-0,1721.0526320000001,True
778J-10-0,1831.578947,True
8000-10-0,318.94736800000004,True
8001-10-0,1689.473684,True
8002-10-0,1831.578947,True
8003-10-0,1124.210526,True
8004-10-0,944.210526,True
8006-10-0,827.368421,True
8007-10-0,1102.1052630000001,True
8008-10-0,745.263158,True
8009-10-0,1957.894737,True
8010-10-0,587.368421,True
8013-10-0,435.78947400000004,True
8015-10-0,877.894737,True
8016-10-0,647.368421,True
8017-10-0,2273.684211,True
8038-10-0,574.736842,True
8040-10-0,776.842105,True
8043-10-0,2200.0,True
8047-10-0,858.947368,True
8050-10-0,1038.9473679999999,True
8055-10-0,814.736842,True
8060-10-0,1133.684211,True
8065-10-0,2652.631579,True
8075-10-0,890.5263160000001,True
807A-10-0,808.421053,True
807J-10-0,1115.294118,True
807M-10-0,590.5263160000001,True
809A-10-0,1067.3684210000001,True
809H-10-0,1275.789474,True
809L-10-0,817.894737,True
809P-10-0,457.894737,True
809T-10-0,1894.7368420000003,True
809U-10-0,1093.333333,True
8100-10-0,858.947368,True
8194-10-0,865.263158,True
8199-10-0,453.333333,True
819A-10-0,426.31578899999994,True
8200-10-0,1373.684211,True
8215-10-0,1130.526316,True
8300-10-0,893.6842109999999,True
8400-10-0,432.631579,True
846M-10-0,2336.842105,True
847J-10-0,1632.6315789999999,True
847P-10-0,571.578947,True
848L-10-0,1092.6315789999999,True
8500-10-0,596.842105,True
8528-10-0,773.684211,True
8538-10-0,2100.0,True
8542-10-0,1061.0526320000001,True
8544-10-0,2210.526316,True
8545-10-0,1143.1578949999998,True
8548-10-0,1389.473684,True
8549-10-0,906.3157890000001,True
856R-10-0,726.315789,True
857A-10-0,991.5789470000001,True
857C-10-0,947.3684210000001,True
857P-10-0,628.421053,True
857R-10-0,890.5263160000001,True
8594-10-0,685.263158,True
8600-10-0,827.368421,True
