data,hora_utc,temp_hora_celsius,umidade_perc,pressao_hPa,veloc_vento_ms,dir_vento_ms,nebulosidade_decimos,insolacao_h,temp_max_Diaria_h,temp_min_diaria_h,chuva_diaria_mm,
04/04/2017,1200,21.6,75.0,927.1,1.6,18.0,2.0,,,17.8,0.0,
04/04/2017,1800,28.3,41.0,923.9,2.5,18.0,8.0,,,,,
05/04/2017,0000,21.8,83.0,925.7,1.6,18.0,0.0,9.60,30.4,,,
05/04/2017,1200,22.7,71.0,926.3,1.6,14.0,4.0,,,18.6,0.0,
05/04/2017,1800,29.7,36.0,923.0,2.5,14.0,6.0,,,,,
06/04/2017,0000,26.4,62.0,923.9,1.6,23.0,10.0,0.60,26.4,,,
06/04/2017,1200,20.4,88.0,927.3,1.6,32.0,10.0,,,19.8,5.0,
06/04/2017,1800,25.3,73.0,922.2,3.3,36.0,10.0,,,,,
07/04/2017,0000,22.6,88.0,924.3,1.1,23.0,7.0,0.00,22.6,,,
07/04/2017,1200,20.8,93.0,926.9,0.0,0.0,10.0,,,19.6,82.1,
07/04/2017,1800,22.5,98.0,925.0,0.8,14.0,10.0,,,,,
08/04/2017,0000,21.4,92.0,926.3,2.3,14.0,10.0,3.20,26.2,,,
08/04/2017,1200,22.4,87.0,928.1,2.0,14.0,10.0,,,20.2,18.0,
08/04/2017,1800,25.4,79.0,925.8,2.5,14.0,10.0,,,,,
09/04/2017,0000,21.8,83.0,928.1,3.0,14.0,10.0,6.30,27.6,,,
09/04/2017,1200,21.5,87.0,928.2,2.5,14.0,10.0,,,19.6,0.0,
09/04/2017,1800,26.3,66.0,927.2,2.5,14.0,10.0,,,,,
10/04/2017,0000,22.2,86.0,927.2,3.6,14.0,10.0,6.70,28.8,,,
10/04/2017,1200,23.2,78.0,926.8,2.5,14.0,8.0,,,20.4,0.0,
10/04/2017,1800,27.9,60.0,924.6,1.6,14.0,7.0,,,,,
11/04/2017,0000,23.0,88.0,925.3,3.0,18.0,10.0,7.90,29.6,,,
11/04/2017,1200,24.8,77.0,926.1,1.6,32.0,9.0,,,21.2,4.8,
11/04/2017,1800,28.9,53.0,923.4,2.5,32.0,10.0,,,,,
12/04/2017,0000,25.2,78.0,925.5,1.6,18.0,2.0,0.60,25.2,,,
